                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2384,                 6.1441,                 5.2794,                 2.6455,                0.00278,                0.78947,                0.01729,                0.00309,                      0,                      0,                      0,                      0,                 3.0146,                 10.122,                 9.6401,                 3.2716,                  8e-05,                  8e-05,                  8e-05
                      2,                 2.0098,                 2.5012,                 4.6943,                 2.4374,                0.00278,                0.78947,                0.10553,                0.02815,                      0,                      0,                      0,                      0,                 2.9784,                 2.3522,                 8.8006,                 3.6062,             0.00017644,             0.00017644,             0.00017644
                      3,                  1.365,                 1.7451,                 3.5726,                 1.8522,                0.00333,                0.94737,                0.40846,                0.13074,                      0,                      0,                      0,                      0,                 2.1181,                 1.8083,                 7.4499,                 3.5673,             0.00026891,             0.00026891,             0.00026891
                      4,                 1.2799,                  1.413,                 3.2929,                 1.8251,                0.00333,                0.84211,                0.24436,                0.07771,                      0,                      0,                      0,                      0,                 2.1791,                 1.6095,                 7.6378,                 3.3335,             0.00035743,             0.00035743,             0.00035743
                      5,                 1.6539,                 1.2692,                 3.6982,                 2.1553,                0.00314,                0.84211,                0.20084,                0.05952,                      0,                      0,                      0,                      0,                 2.5172,                 1.2498,                 8.1375,                 3.4966,             0.00044198,             0.00044198,             0.00044198
                      6,                 1.0023,                0.72376,                 2.4624,                   1.69,                0.00314,                0.84211,                0.42666,                0.15881,                 0.0002,                0.05263,                 0.0002,                  2e-05,                 2.5069,                0.93001,                  8.037,                 3.2891,             0.00052258,             0.00052258,             0.00052258
                      7,                 1.5868,                0.77221,                 4.0427,                 1.9078,                0.59306,                0.10526,                0.18175,                0.08762,                0.00044,                0.10526,                0.00126,                0.00035,                 2.3003,                0.70578,                 8.5712,                 3.0885,             0.00059922,             0.00059922,             0.00059922
                      8,                 1.2327,                0.98723,                 2.7616,                 1.5547,                0.13119,                0.10526,                0.07021,                0.02446,                0.00039,                0.10526,                0.00085,                 0.0003,                 2.5151,                0.60073,                 8.6898,                 2.9873,             0.00067189,             0.00067189,             0.00067189
                      9,                 1.8532,                0.63115,                 5.3739,                 2.3275,                0.11185,                0.05263,                0.01345,                0.00398,                0.00021,                0.05263,                0.00017,                  4e-05,                 3.8856,                 1.2359,                 10.521,                 5.8417,             0.00074061,             0.00074061,             0.00074061
                     10,                 1.0686,                0.55531,                 2.6154,                 1.6682,                0.00089,                0.21053,                 0.0043,                 0.0006,                0.00022,                0.05263,                0.00016,                  2e-05,                 4.3594,                 1.3417,                 12.153,                  5.352,             0.00080536,             0.00080536,             0.00080536
                     11,                 1.0416,                0.58366,                 2.2563,                 1.4783,                0.03568,                0.05263,                0.00559,                0.00137,                0.00022,                0.05263,                0.00013,                  1e-05,                 3.9961,                 1.5363,                 14.476,                 4.7025,             0.00086616,             0.00086616,             0.00086616
                     12,                0.87947,                0.57932,                 2.1193,                 1.4702,                 0.1624,                0.10526,                0.07647,                0.01735,                0.00021,                0.05263,                0.00029,                  3e-05,                 3.9073,                 1.5007,                 12.873,                 4.2589,               0.000923,               0.000923,               0.000923
                     13,                 0.7974,                 0.5123,                 1.8336,                 1.3745,                0.86877,                0.15789,                 0.2083,                0.06332,                 0.0044,                0.05263,                0.00094,                  9e-05,                 3.0286,                 1.7728,                 8.9761,                 3.3535,             0.00097587,             0.00097587,             0.00097587
                     14,                0.96888,                0.67907,                 2.0452,                 1.4316,                 0.7609,                0.68421,                0.64095,                0.13128,                0.12854,                0.10526,                0.01754,                0.00178,                 2.1887,                 1.2303,                 6.1592,                 2.6721,              0.0010248,              0.0010248,              0.0010248
                     15,                0.87429,                0.58531,                  1.952,                   1.42,                0.66515,                0.57895,                0.58713,                0.15681,                0.00056,                0.15789,                0.00265,                0.00039,                 1.7066,                0.78828,                 5.1955,                 2.0274,              0.0010697,              0.0010697,              0.0010697
                     16,                 1.7543,                0.56464,                 3.9779,                 1.7857,                0.84556,                0.78947,                0.72161,                0.26255,                 0.1063,                0.05263,                0.00901,                0.00101,                 1.8513,                0.84986,                 4.4517,                 2.1026,              0.0011107,              0.0011107,              0.0011107
                     17,                  1.105,                0.58086,                 2.2628,                 1.4232,                0.68483,                0.73684,                0.70733,                0.34294,                0.21964,                0.31579,                 0.1183,                0.03028,                 1.8472,                0.43654,                 4.1798,                 1.7705,              0.0011478,              0.0011478,              0.0011478
                     18,                 1.1722,                 0.5309,                 2.0229,                 1.4827,                0.70066,                0.68421,                0.71286,                0.37724,                0.67994,                0.42105,                0.43622,                0.06377,                 1.7006,                0.40333,                 4.3808,                 2.0957,              0.0011809,              0.0011809,              0.0011809
                     19,                 1.1369,                0.56622,                 1.9562,                 1.5474,                0.60184,                0.57895,                0.60204,                0.28715,                0.20135,                0.38511,                0.14323,                0.02755,                 1.7734,                0.39771,                 4.6393,                 2.0799,                0.00121,                0.00121,                0.00121
                     20,                 1.5287,                 0.4824,                 2.2701,                 1.5907,                0.56253,                0.42105,                0.44541,                0.20846,                0.54951,                0.10526,                0.11599,                0.02753,                 1.7058,                0.38548,                  4.429,                 1.5813,              0.0012351,              0.0012351,              0.0012351
                     21,                 1.0249,                0.51283,                  1.952,                 1.5135,                 0.6652,                0.57895,                0.60682,                0.27247,                0.51888,                0.21053,                0.20182,                0.02901,                 1.9524,                0.37731,                 4.7142,                  2.007,               0.001208,               0.001208,               0.001208
                     22,                 0.8144,                 0.4447,                 1.8273,                 1.3206,                0.64655,                0.68421,                0.61071,                0.32878,                0.37906,                0.31579,                0.22402,                0.03788,                 1.7302,                0.37088,                 3.9083,                 1.6925,               0.001208,               0.001208,               0.001208
                     23,                 0.9725,                0.50268,                 1.8833,                 1.4668,                0.85334,                0.63158,                0.64907,                0.32109,                0.88575,                0.10526,                0.12339,                0.03004,                 1.8319,                0.39228,                 4.0891,                 1.8147,              0.0011684,              0.0011684,              0.0011684
                     24,                0.92332,                0.52173,                  1.887,                 1.4463,                0.56591,                0.68421,                0.66048,                0.33436,                0.18752,                0.42105,                0.10834,                0.01347,                 1.6636,                0.42163,                  4.082,                 1.7672,              0.0011288,              0.0011288,              0.0011288
                     25,                0.83194,                0.49983,                 1.7443,                 1.3453,                0.71147,                0.64959,                0.70364,                0.33292,                0.15523,                0.47368,                0.09122,                0.01215,                  1.688,                0.42332,                 3.9621,                 1.9413,              0.0010892,              0.0010892,              0.0010892
                     26,                0.89143,                0.69587,                 1.8985,                 1.3934,                0.59985,                0.78947,                0.68579,                  0.324,                0.37637,                0.52632,                0.36501,                0.05704,                 1.8363,                0.33534,                 3.6209,                 2.0035,              0.0010496,              0.0010496,              0.0010496
                     27,                0.77791,                0.54324,                 1.8007,                 1.2906,                0.55228,                0.77939,                0.65062,                0.29291,                0.29614,                0.36842,                0.22959,                 0.0481,                  1.951,                0.30057,                 3.8124,                  1.991,                0.00101,                0.00101,                0.00101
                     28,                0.93712,                0.48366,                 1.7866,                 1.3881,                0.55206,                0.57895,                0.54645,                0.21518,                0.44901,                0.10526,                0.09765,                0.03262,                 2.3293,                0.28259,                  4.623,                 1.6861,              0.0009704,              0.0009704,              0.0009704
                     29,                0.93907,                0.49574,                 1.7548,                 1.4379,                0.68306,                0.68421,                0.66134,                0.27268,                0.46691,                0.21053,                0.19633,                0.05429,                 2.0993,                0.27247,                 4.0409,                 1.6724,              0.0009308,              0.0009308,              0.0009308
                     30,                0.96338,                 0.5202,                  1.641,                 1.4656,                0.68794,                0.57895,                 0.5707,                0.19888,                0.42077,                0.31579,                0.25616,                0.06237,                 2.2988,                 0.2675,                 4.0771,                 1.9819,              0.0008912,              0.0008912,              0.0008912
                     31,                0.73694,                0.53236,                 1.5526,                 1.2269,                0.62655,                0.57895,                0.56292,                0.13574,                0.21086,                0.15789,                0.07831,                0.03707,                 2.5969,                 0.2688,                 4.2535,                 2.2711,              0.0008516,              0.0008516,              0.0008516
                     32,                0.94998,                0.48938,                 1.5186,                 1.4881,                0.90654,                0.57895,                0.68779,                0.18733,                0.19932,                0.15789,                0.10106,                0.05101,                 2.4769,                0.27804,                 3.7351,                 2.1639,               0.000812,               0.000812,               0.000812
                     33,                0.89569,                0.48515,                 1.7948,                 1.3451,                      1,                 0.8297,                0.88382,                0.45548,                0.55761,                0.59763,                0.53221,                0.13647,                 1.6065,                0.28319,                 2.9766,                 1.6871,              0.0007724,              0.0007724,              0.0007724
                     34,                0.78149,                0.46155,                 1.3894,                 1.2267,                      1,                0.77201,                0.86488,                0.47253,                0.78465,                0.57556,                0.61739,                 0.1676,                  1.511,                0.28499,                 2.9252,                 1.6011,              0.0007328,              0.0007328,              0.0007328
                     35,                  1.214,                0.76332,                 2.6126,                 1.4939,                0.83314,                0.78947,                0.84829,                0.47595,                 0.7302,                 0.5703,                0.60849,                0.13993,                  1.451,                0.27248,                 2.9367,                 1.6152,              0.0006932,              0.0006932,              0.0006932
                     36,                0.81825,                0.53061,                 1.4571,                 1.2879,                0.69259,                0.78947,                 0.8245,                0.45366,                 0.4003,                0.47368,                0.32767,                0.10198,                  1.579,                0.26953,                 3.2805,                  1.635,              0.0006536,              0.0006536,              0.0006536
                     37,                0.68392,                0.42465,                 1.3327,                  1.252,                0.73827,                0.78947,                0.84837,                0.45501,                 0.3924,                0.42105,                0.34711,                0.10415,                 1.5459,                0.27723,                 3.0967,                 1.5985,               0.000614,               0.000614,               0.000614
                     38,                0.74652,                0.51913,                 1.3756,                  1.252,                0.75449,                0.78947,                0.82706,                0.44871,                 0.4778,                0.52632,                0.35361,                0.09431,                 1.5397,                0.29958,                 3.0577,                 1.5306,              0.0005744,              0.0005744,              0.0005744
                     39,                0.75138,                0.43954,                 1.3357,                 1.2236,                0.85801,                0.63635,                0.82484,                0.45279,                0.39012,                0.57895,                0.31784,                0.07198,                 1.4846,                0.31334,                 2.9637,                 1.4786,              0.0005348,              0.0005348,              0.0005348
                     40,                0.83061,                0.53054,                 1.4303,                 1.2543,                0.74326,                0.78947,                0.76113,                0.44964,                0.43066,                0.57895,                0.43085,                0.09909,                 1.4381,                0.26628,                 2.9095,                 1.4428,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.7256,                 0.2745,                 3.6284,                 1.6488,                0.73782,                0.78947,                0.77359,                0.47292,                0.49812,                0.52632,                0.49828,                0.11946,                 1.3761,                0.26258,                 2.9013,                 1.4408,              0.0004556,              0.0004556,              0.0004556
                     42,                   1.02,                0.32109,                 2.3683,                 1.4076,                0.70299,                0.78947,                0.75043,                0.45671,                0.62643,                0.42105,                0.47918,                0.10702,                 1.3958,                  0.267,                 2.9439,                 1.5508,               0.000416,               0.000416,               0.000416
                     43,                0.99891,                0.34954,                 2.3783,                 1.3743,                0.66673,                0.73684,                0.73566,                0.43903,                0.52599,                0.36842,                0.39208,                0.11162,                 1.4246,                0.27077,                 3.0948,                 1.6865,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.2239,                 0.2355,                 2.6151,                 1.2592,                0.85024,                0.73684,                0.76877,                0.45889,                0.50448,                0.63158,                0.54993,                0.10544,                  1.472,                0.26943,                  3.107,                 1.6674,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.0542,                0.27682,                  2.532,                 1.3378,                0.82229,                0.78947,                0.78935,                0.47769,                0.59281,                0.63158,                0.61292,                0.12464,                 1.5269,                0.26542,                 2.9829,                 1.5548,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.0012,                0.29188,                 2.3541,                 1.2636,                0.87541,                0.78947,                0.81507,                0.50193,                0.60854,                0.57303,                0.49783,                0.10757,                 1.5264,                0.26632,                 2.8544,                 1.4589,              0.0002576,              0.0002576,              0.0002576
                     47,                0.88678,                0.29132,                 2.1633,                 1.1971,                0.87892,                0.78947,                0.80533,                0.46845,                0.54888,                0.52632,                 0.5071,                0.08878,                 1.5381,                0.26799,                 2.8342,                 1.5489,               0.000218,               0.000218,               0.000218
                     48,                0.87439,                0.25601,                 2.1552,                 1.2036,                0.86135,                0.78947,                0.85838,                0.52839,                0.71369,                0.68421,                0.59242,                0.12041,                 1.5154,                0.27392,                 2.9299,                 1.5798,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.1897,                0.26458,                 2.3613,                 1.3323,                 0.8895,                0.73684,                0.86723,                0.52929,                 0.7169,                0.68421,                0.60035,                0.12606,                 1.4546,                0.27636,                 2.8085,                 1.4874,              0.0001388,              0.0001388,              0.0001388
                     50,                0.92268,                0.24401,                 2.1462,                  1.217,                0.91778,                0.78947,                0.85023,                 0.5322,                 0.7633,                0.67916,                0.63322,                0.13763,                 1.4257,                0.27662,                 2.7647,                 1.4173,               9.92e-05,               9.92e-05,               9.92e-05
