                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99604,                 7.9981,                 2.6612,                 1.3658,                0.00352,                      1,                0.25173,                0.12099,                      0,                      0,                      0,                      0,                0.69756,                 10.686,                 3.3247,                 1.4454,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.2348,                 3.0657,                 2.5987,                 1.4797,                0.00352,                      1,                0.57883,                   0.29,                      0,                      0,                      0,                      0,                0.74922,                 3.0985,                 3.2885,                  1.431,             0.00017644,             0.00017644,             0.00017644
                      3,                0.94675,                  1.905,                 2.0404,                 1.2167,                0.00352,                      1,                0.67409,                0.34747,                      0,                      0,                      0,                      0,                0.73992,                 1.2252,                 3.0964,                 1.3481,             0.00026891,             0.00026891,             0.00026891
                      4,                0.78318,                 1.4714,                 1.7057,                  1.153,                0.00352,                      1,                 0.4916,                0.31327,                      0,                      0,                      0,                      0,                0.73367,                 1.3782,                  3.177,                 1.4006,             0.00035743,             0.00035743,             0.00035743
                      5,                 1.0936,                 1.3263,                 1.6024,                 1.7001,                0.71873,                0.80749,                0.71488,                0.50292,                      0,                      0,                      0,                      0,                0.93251,                 2.4751,                 2.5713,                 1.9727,             0.00044198,             0.00044198,             0.00044198
                      6,                0.65902,                0.86275,                 1.1311,                 1.0968,                0.88346,                0.40047,                0.80313,                0.57101,                0.00019,                0.05263,                0.00011,                  2e-05,                0.88192,                 2.1938,                 2.8076,                 1.8114,             0.00052258,             0.00052258,             0.00052258
                      7,                0.66504,                0.94213,                 1.5297,                 1.1452,                0.80958,                0.67192,                0.73963,                 0.5189,                      0,                      0,                      0,                      0,                 1.0837,                 3.0903,                 2.7641,                 2.1135,             0.00059922,             0.00059922,             0.00059922
                      8,                0.79945,                 1.2931,                 1.5022,                 1.1091,                0.78237,                0.73684,                 0.7721,                0.45991,                0.00019,                0.05263,                0.00017,                  2e-05,                 1.0554,                  3.482,                 2.6127,                 2.0315,             0.00067189,             0.00067189,             0.00067189
                      9,                 1.0693,                 1.0885,                 2.2482,                 1.3418,                0.70231,                0.63158,                0.65384,                0.44547,                0.00019,                0.05263,                0.00013,                  4e-05,                 0.9844,                 2.3001,                 2.5379,                 1.9032,             0.00074061,             0.00074061,             0.00074061
                     10,                0.69539,                0.79581,                 1.2628,                 1.0793,                 0.6486,                0.63158,                 0.6126,                0.38296,                0.00019,                0.05263,                0.00012,                  5e-05,                 1.1466,                 2.2206,                 3.1609,                 2.2202,             0.00080536,             0.00080536,             0.00080536
                     11,                0.65028,                 0.7373,                 1.1808,                 1.0538,                 0.6781,                0.78947,                0.68962,                0.46838,                0.06487,                0.15789,                0.02604,                0.00298,                 1.0699,                 1.6058,                 3.5779,                 2.3843,             0.00086616,             0.00086616,             0.00086616
                     12,                0.61138,                  0.682,                 1.1145,                 1.0719,                0.45057,                0.52632,                0.49188,                0.31457,                0.29708,                0.57895,                0.31318,                0.05083,                 1.2079,                0.99085,                 3.3438,                 2.1666,               0.000923,               0.000923,               0.000923
                     13,                0.54542,                0.69528,                0.95774,                0.98655,                0.68224,                0.57895,                 0.5573,                0.36398,                0.60573,                0.36842,                0.45802,                0.08855,                 1.4426,                 0.8062,                 3.7523,                 2.5522,             0.00097587,             0.00097587,             0.00097587
                     14,                0.76407,                0.78312,                 1.1596,                  1.122,                0.62776,                0.57895,                0.59252,                0.36557,                0.73262,                0.78947,                0.72084,                0.14636,                 2.1417,                0.62406,                 3.1681,                 3.6551,              0.0010248,              0.0010248,              0.0010248
                     15,                0.72137,                0.81104,                 1.1338,                 1.1207,                 0.7853,                0.52632,                0.64149,                0.45628,                 0.8031,                0.52632,                0.62091,                 0.1296,                 1.4033,                 0.6081,                 3.0802,                 2.1605,              0.0010697,              0.0010697,              0.0010697
                     16,                  1.026,                0.75641,                 2.5254,                 1.4129,                0.92246,                0.62651,                0.65144,                0.46336,                0.90845,                0.52258,                0.53529,                 0.1298,                 1.1892,                0.59676,                  2.546,                 2.0216,              0.0011107,              0.0011107,              0.0011107
                     17,                0.69394,                0.73171,                 1.0991,                 1.1164,                0.99691,                0.63158,                0.76182,                0.51784,                0.99691,                0.63158,                0.71009,                 0.1621,                 1.0107,                 0.5817,                 2.0587,                 1.7535,              0.0011478,              0.0011478,              0.0011478
                     18,                0.66817,                0.68068,                 1.1336,                 1.0811,                0.82714,                0.73684,                0.76496,                 0.5032,                0.69671,                0.78947,                0.74706,                 0.1919,                 1.2686,                0.52515,                 2.0365,                 2.2683,              0.0011809,              0.0011809,              0.0011809
                     19,                0.62483,                0.74479,                 1.0354,                 1.0593,                0.93709,                0.78426,                0.82078,                0.59035,                 0.9056,                0.68421,                0.78544,                0.19419,                 1.2967,                0.49719,                 1.7893,                 2.4279,                0.00121,                0.00121,                0.00121
                     20,                0.96442,                0.71047,                 1.1538,                  1.334,                0.92004,                0.78947,                0.80695,                0.63672,                0.94101,                0.83968,                0.84269,                0.20807,                 0.9983,                0.46361,                 1.7003,                 1.8965,              0.0012351,              0.0012351,              0.0012351
                     21,                0.76219,                 1.0288,                 0.9553,                 1.1142,                0.88042,                0.77566,                 0.7458,                 0.6283,                0.88042,                0.77566,                0.76866,                0.20641,                0.99221,                0.47831,                 1.7286,                 1.8701,               0.001208,               0.001208,               0.001208
